addref,city,assembly,body,make,model,year,engine,transmission,fuel,color,registered,mileage,price
7943732,Peshawar,,Sedan,Toyota,Corolla,2013,1300,Manual,Petrol,Silver Metallic,Lahore,145000,2870000
7730314,Lahore,,Sedan,Honda,City,2000,1300,Manual,Petrol,Blue,Lahore,230000,995000
7943737,Lahore,,Sedan,Toyota,Yaris,2021,1300,Manual,Petrol,Super White,Punjab,60500,3585000
7943733,Lahore,,Hatchback,Suzuki,Swift,2017,1300,Manual,Petrol,Grey,Islamabad,87000,2250000
7923484,Lahore,,Sedan,Honda,Civic,2017,1800,Automatic,Petrol,Grey,Lahore,86000,4850000
7943736,Vehari,Imported,Sedan,Honda,Civic,2010,1300,Automatic,Petrol,Albastar Silver,Punjab,157000,2850000
7764683,Islamabad,,Hatchback,Suzuki,Swift,2019,1300,Manual,Petrol,Grey,Islamabad,45000,2675000
7943739,Faisalabad,,Sedan,Honda,City,2018,1300,Automatic,Petrol,Maroon,Lahore,187000,3450000
7894559,Lahore,Imported,Hatchback,Daihatsu,Move,2019,660,Automatic,Petrol,Fire Quartz Red,Un-Registered,22517,3850000
7943724,Lahore,,Sedan,Honda,City,2014,1300,Manual,Petrol,Crystal Black Pearl,Lahore,110000,2585000
7907725,Lahore,Imported,Hatchback,Daihatsu,Move,2019,660,Automatic,Petrol,Unique Orange,Un-Registered,77450,3650000
7943741,Lahore,,Hatchback,Suzuki,Mehran,2019,796,Manual,Petrol,Silky Silver,Lahore,69000,1365000
7943740,Sialkot,,Sedan,Toyota,Yaris,2020,1300,Automatic,Petrol,Grey Graphite,Punjab,40000,4300000
7894570,Lahore,Imported,Hatchback,Daihatsu,Move,2019,660,Automatic,Petrol,Silver,Un-Registered,47499,3850000
7929705,Lahore,Imported,Hatchback,Daihatsu,Move,2019,660,Automatic,Petrol,Pearl White III,Un-Registered,69951,3550000
7943727,Lahore,,Sedan,Honda,City,2010,1300,Automatic,Petrol,Crystal Black Pearl,Sindh,152000,2130000
7943722,Islamabad,Imported,Hatchback,Daihatsu,Mira,2006,660,Automatic,Petrol,Bright Silver Metallic,Islamabad,130000,1520000
7943656,Mansehra,Imported,SUV,Mitsubishi,Pajero,1996,2400,Automatic,Petrol,Blue,Swat,196000,2500000
7943726,Gujranwala,,Hatchback,Suzuki,Cultus,2019,1000,Manual,Petrol,Silky Silver,Lahore,96200,2950000
7855320,Lahore,Imported,Hatchback,Daihatsu,Move,2019,660,Automatic,Petrol,Black,Un-Registered,83465,3550000
7590374,Islamabad,Imported,Hatchback,Toyota,Vitz,2014,1000,Automatic,Petrol,Red,Lahore,121,3150000
